id,station_name,region,latitude,longitude
1,Гасан-Кули,Туркмения,37.1,54
2,Курган-Тюбе,Курган-Тюбинская ,37.7,68.8
3,Ашхабад,Ашхабадская ,38,58.3
4,им. академика Н. П. Горбунова,Горно-Бадахшанская АО,38.4,72.2
5,"Душанбе, АС",Таджикистан,38.5,68.8
6,Бекибент,Красноводская,38.7,56
7,Чарджоу,Чарджоуская,39.1,63.8
8,Нахичевань,Нахичеванская АССР,39.2,45.3
9,Харамкуль,Таджикистан,39.2,68.4
10,Акмолла,Ташаузская,39.4,60.3
11,"Ереван, агро",Армения,40.2,44.5
12,Мартуни,Армения,40.2,45.2
13,Кайракумское водохр.,Ленинабадская,40.2,69.6
14,Артём-остров,Дагестан,40.4,50.6
15,"Севан, озерная ГМО",Армения,40.6,44.8
16,Ленинакан,Армения,40.8,43.9
17,Мингечаур,Азербайджан,40.9,47.05
18,Гейгель-Шамхорский,Дагестан,40.9,46
19,Сусамыр,Нарынская,41.1,73.9
20,Калинино,Армения,41.15,44.2
21,Цалка,Грузия,41.6,44.01
22,Тянь-Шань,Киргизия,41.7,78.2
23,"Тбилиси, ГМО",Грузия,41.8,44.8
24,Анасеули,Грузия,41.9,41.9
25,Телави ,Грузия,42,45.4
26,Торса ,Грузия,42.3,41.8
27,Крестовый перевал,Грузия,42.6,44.3
28,Чолпон-Ата,Иссык-Кульская,42.7,77.1
29,"Сухуми, агро",Абхазия,42.9,40.95
30,Фрунзе,Киргизия,42.9,74.7
31,Махачкала,Дагестан,43.1,47.3
32,Владивосток,Приморский край,43.2,131.9
33,"Сулак, высокогорная",Дагестан,43.3,47.35
34,"Алма-Ата, ГМО",Казахстан,43.3,76.8
35,"Алма-Ата, агро",Казахстан,43.3,76.8
36,Сочи,Краснодарский край,43.4,39.9
37,Кизляр,Дагестан,43.9,46.6
38,Тимирязевский,Приморский край,43.9,131.8
39,Южно-Курильск,Сахалин,43.95,145.9
40,Пятигорск,Ставропольский край,44.1,43
41,Айдарлы,Алма-Атинская,44.3,75.7
42,Рудная пристань,Приморский край,44.3,135.8
43,Форт-Шевченко,Мангышлакская,44.6,50
44,Новосельское,Приморский край,44.6,132.9
45,Карадаг,Респ. Крым,44.9,35.2
46,Краснодар,Краснодарский край,45,39.2
47,Евпатория,Респ. Крым,45.2,33.3
48,Болград,Одесская обл.,45.8,28.6
49,"Одесса, ГМО",Одесская обл.,46.4,30.4
50,Астрахань,Астраханская обл.,46.4,48
51,Аскания-Нова,Херсонская обл.,46.5,33.8
52,Гигант,Ростовская обл.,46.5,41.3
53,Херсон,Херсонская обл.,46.7,32.5
54,Аральское море,Кзыл-Ординская,46.7,61.6
55,Южно-Сахалинск,Сахалин,46.9,143.1
56,Цимлянск,Ростовская обл.,47.7,42.1
57,Приозёрный,Казахстан,47.9,84.2
58,Екатерино-Никольское,Еврейская АО,48,130.6
59,Берегово,Закарпатская обл.,48.2,22.7
60,Хабаровск,Хабаровский край,48.4,135.1
61,Межгорье,Закарпатская обл.,48.5,23.5
62,Волгоград,Волгоградская обл.,48.8,44.7
63,Советская гавнь,Хабаровский край,49.2,140.4
64,Джаныбек,Казахстан,49.3,46.9
65,Полтава,Полтавская обл.,49.6,34.5
66,Константиновка,Хабаровский край,49.6,127.9
67,Толстовка,Хабаровский край,49.7,128.2
68,Магнут,Читинская ,49.8,112.6
69,Селезнёвка,Восточно-Казахстанская,49.9,84.5
70,Кош-Агач,Алтайский край,50,88.4
71,Актру,Горно-Алтайская АО,50.1,87.3
72,Борзя,Читинская ,50.3,116.4
73,Борисполь,Киевская обл.,50.4,30.6
74,Тымовское (Кировское),Сахалин,50.9,143.3
75,Каменная Степь,Воронежская обл.,51.1,40.9
76,Полесская,Минская обл.,51.14,29.23
77,Ковель,Волынская обл.,51.2,24.7
78,Ершов,Саратовская обл.,51.2,48.3
79,"Уральск, ГМБ",Уральская,51.15,51.5
80,"Целиноград, ГМО",Целиноградская,51.2,71.4
81,Конотоп,Сумская обл.,51.3,33.2
82,Бабушкин,Иркутская,51.4,105.9
83,Кызыльская ГМО,Тувинская АССР,51.5,94.4
84,Нижнедевицк,Воронежская обл.,51.6,38.4
85,Ростоши,Воронежская обл.,51.6,40.9
86,Курск,Курская обл.,51.7,36.2
87,Иволгинск,Читинская ,51.7,107.2
88,Чебеньки,Оренбургская обл.,51.9,55.7
89,Ильчир,Иркутская,52,100.9
90,"Чита, ОГМС",Читинская ,52.1,113.4
91,Василевичи,Минская обл.,52.2,30.4
92,Хомутово,Иркутская,52.2,104.6
93,Иркутская обс.,Иркутская,52.2,104.3
94,им. Полины Осипенко,Хабаровский край,52.3,137.1
95,Кузедеево,Кемеровская,52.7,87
96,Рудный,Кустанайская ,52.9,63.1
97,Благовещенка,Алтайский край,52.9,79.7
98,Хужир,Иркутская,53.1,107.3
99,Самара,Самарская обл.,53.3,50.2
100,Хакасская ЗГМО,Хакасская АО,53.6,91.2
101,Павелец,Рязанская обл.,53.8,39.2
102,Минск,Минская обл.,54,27.6
103,Советск,Тульская обл.,54,37.7
104,Сковородино,Хабаровский край,54.2,124.1
105,Багдарин,Читинская ,54.3,113.7
106,Тулун,Иркутская,54.4,100.5
107,Бомнак,Амурская,54.7,129
108,Смоленск,Смоленская обл.,54.8,32.1
109,Каунас,Латвия,54.9,23.9
110,Огурцово,Новосибирская,54.9,83
111,Кушнаренково,Респ. Башкортостан,55.1,55.3
112,Байкальское,Иркутская,55.6,109
113,Шилуте,Литва,55.7,21.3
114,Подмосковная,Московская обл,55.7,37.2
115,Памятная,Курганская обл.,55.7,65
116,Москва,Московская обл,55.8,37.6
117,Вязовые,Казанская обл.,55.8,48.5
118,Шумиха,Красноярский край,55.8,96.1
119,Большой Шантар,Хабаровский край,55.9,137.1
120,Солянка,Красноярский край,56.1,95.2
121,"Братск, обс.",Иркутская,56.2,101.8
122,Нижний Новгород,Нижегородская обл.,56.3,44
123,Торопец,Тверская обл.,56.5,31.6
124,Верхнее Дуброво,Свердловская обл.,56.8,60.8
125,Александровское,Томская ,56.8,85.2
126,Рига,Латвия,57,24
127,Торжок,Тверская обл.,57,35
128,Прибалтийская,Латвия,57.1,25.9
129,Нолинск,Кировская обл.,57.6,49.9
130,Кострома,Костромская обл.,57.8,40.9
131,Мамакан,Иркутская,57.9,114.1
132,Киренск,Иркутская,57.9,108.1
133,Валдай,Новгородская обл.,58,33.3
134,Тыравере,Эстония,58.3,26.5
135,Алдан,Якутия,58.3,125.8
136,Енисейск,Красноярский край,58.5,92.2
137,Николаевское,Новгородская обл.,58.6,29.8
138,Чермоз,Пермская обл.,58.7,56.1
139,Тийрикоя,Эстония,58.9,26.9
140,Ларьянская,Ленинградская обл.,59.31,33.41
141,Белогорка,Ленинградская обл. ,59.4,30.1
142,Охотск,Хабаровский край,59.6,143.2
143,Воейково,Ленинградская обл.,59.9,30.7
144,Санкт-Петербург,Ленинградская обл.,60,30.4
145,Новая  Ладога,Ленинградская обл.,60.1,32.3
146,Ванавара,Красноярский край,60.3,102.2
147,"Ивдель, АЭС",Свердловская обл.,60.7,60.4
148,Ербогачён,Иркутская,61.3,107.9
149,Каргополь,Архангельская обл.,61.6,38.9
150,Якутск,Якутия,61.6,129.7
151,Петрозаводск,Респ. Карелия,61.8,34.4
152,Усть-Вымь,Респ. Коми,62.2,50.4
153,Чернышевский,Якутия,62.8,112.6
154,Оймякон (аэропорт),Якутия,63.9,142.9
155,Тура,Эвенкийский АО,64.2,100.2
156,Ираель,Респ. Коми,64.5,55.4
157,Архангельск,Архангельская обл.,64.6,40.5
158,Туруханск,Красноярский край,65.7,87.6
159,Усть-Мома,Якутия,66.6,143.8
160,Коткино,Архангельская обл.,66.9,51
161,Елецкая,Респ. Коми,67.3,64.3
